feature,classifier,accuracy_mean,accuracy_sd,accuracy_sem,low_recall_mean,low_recall_sd,med_recall_mean,med_recall_sd,high_recall_mean,high_recall_sd,n_folds
Codon identity,RF,0.7191881635039408,0.00886644799908661,0.004433223999543305,0.5513373451108394,0.03876726776005647,0.6881740259278358,0.006228327722376075,0.8158206809570381,0.013894867605549577,5
Codon identity,KNN,0.6785097137807266,0.007738611973879058,0.0038693059869395288,0.4789783889980354,0.02583041907162245,0.6640273504881475,0.0126719854263617,0.7739828665180981,0.006312784380535028,5
All computed,RF,0.6763595617770708,0.0030661928565350917,0.0015330964282675458,0.43414986928205684,0.02901930499964321,0.6338422278733129,0.0045539102718470306,0.813858426990311,0.006666410096695262,5
Windowed dG (slide),RF,0.673138579100185,0.010802865188718196,0.005401432594359098,0.5375709666939963,0.025967055838729516,0.6408262052531433,0.017774195800856818,0.757477594471967,0.010811636785672684,5
Fragment identity,RF,0.67242170847485,0.005702296953782543,0.0028511484768912712,0.40386662128923473,0.01866049284854423,0.6494988707698326,0.012585313535848653,0.8038900378903264,0.006097268194641577,5
Windowed dG (slide),KNN,0.6510080615654716,0.008559645597824878,0.004279822798912439,0.45537722568568906,0.013628186954127148,0.6061154482243523,0.010734464051200626,0.771204153506592,0.013597308673467567,5
CAI,RF,0.6412680168258091,0.010292940475019784,0.005146470237509892,0.443580898163761,0.035485199176865406,0.6146024576316398,0.012718162055918355,0.7465280115862098,0.007268645094532346,5
All computed,KNN,0.6343924565012372,0.009707874295726126,0.004853937147863063,0.390493943659793,0.017395852466193473,0.5930969359628688,0.0096857695939659,0.7715302828681213,0.011001945675962518,5
CAI + mRNA dG,RF,0.6202825285513874,0.0039608838805516135,0.0019804419402758068,0.4270648020667358,0.024026090067416662,0.5744196468265965,0.00996578174931302,0.740319930097959,0.009792302822919033,5
CAI + mRNA dG,KNN,0.5610556589343056,0.004652909336759974,0.0023264546683799867,0.31145677026128127,0.020768809397063843,0.5255639926733413,0.010989964883717162,0.6955402711643393,0.008469071302469726,5
CAI,KNN,0.5387813620861406,0.0024928629723048176,0.0012464314861524086,0.2548311495444209,0.021220404946551665,0.5387630039300766,0.014857450112842896,0.6568081007273446,0.008850208947794612,5
Fragment identity,KNN,0.5354140864085976,0.007342109432231555,0.0036710547161157773,0.2029113747814922,0.00960992564591098,0.5530988921096155,0.014560931314721035,0.6582758832614539,0.015540910248377426,5
mRNA stability,KNN,0.5148597819710792,0.0053505918013810015,0.0026752959006905003,0.29689912287486653,0.012136691362695549,0.48538047054220834,0.016092770401410158,0.6309876335380159,0.01440085130710059,5
mRNA dG (scalar),RF,0.4985304284531682,0.008332573906897558,0.004166286953448779,0.5422938291849079,0.06482093104168149,0.30919015524691906,0.027150378932664886,0.6443857919292002,0.03146354400420439,5
AA identity,KNN,0.4875752605199833,0.00533470887138862,0.00266735443569431,0.19624475968008911,0.0234533863854584,0.4742517738694361,0.01865525407578737,0.620199712482431,0.009561258195434633,5
UTR+CDS init fold,RF,0.48069790511487315,0.005583203384499997,0.0027916016922499985,0.548979781260152,0.06464091804277794,0.2471184180107766,0.02925851979614447,0.6546805776003506,0.010522366245202728,5
AA identity,RF,0.46035893694798763,0.006448482666732964,0.003224241333366482,0.21943675262596107,0.013774891527990829,0.43387619369409425,0.01543408999768271,0.5834279255447068,0.01502611239475446,5
5prime ramp,KNN,0.45663616223005954,0.010815799405094244,0.005407899702547121,0.20842318580511426,0.010776358388819967,0.4310502729713869,0.01150439926400869,0.5819592077768693,0.017998533650802066,5
mRNA stability,RF,0.4547737497819703,0.00497798831996709,0.002488994159983545,0.3853797008183407,0.014877881968600688,0.3982286202052176,0.008675575649025878,0.5326066567264682,0.021297679822097404,5
Codon-pair bias,KNN,0.4481843615449935,0.0099910451410581,0.004995522570529049,0.13998499450829943,0.00787705452365695,0.4563315135240873,0.007608046759527156,0.569208097520829,0.015841019605903665,5
Stall sites,RF,0.43758546380198504,0.004342265440207891,0.0021711327201039453,0.29649227294525315,0.018135583662956634,0.2291997581491295,0.008090944074693834,0.6767476846284983,0.01267218327014177,5
Codon-pair bias,RF,0.4098691170897178,0.00460242646624355,0.0023012132331217752,0.2449878563804279,0.010336342232353494,0.4001161239841375,0.01362792904248939,0.4868433991203459,0.014152797172243048,5
5prime ramp,RF,0.3900326324704998,0.008952769470169803,0.004476384735084902,0.2363434555945733,0.014502255642493616,0.3801177244678392,0.015077358488531417,0.4624951234241312,0.009781016497935969,5
Stall sites,KNN,0.19043183989597473,0.0010428205259896215,0.0005214102629948106,0.9866342836811409,0.007492443133683571,0.02622036882257749,0.004185181706059278,0.0017979200401883292,0.0008014687463026104,5
mRNA dG (scalar),KNN,0.18942987240990974,0.0024797745803964424,0.0012398872901982212,0.9929141593057252,0.008126380003079041,0.02263795280351395,0.010003124159482912,0.0,0.0,5
UTR+CDS init fold,KNN,0.18806819939340375,0.0014022935265615684,0.0007011467632807842,0.9956716117754436,0.003387462888465393,0.01773229242615546,0.0027586894310193044,0.0,0.0,5
